date	site	source	Sampling_Loc	file_name	sample_name	key	Hnum	Lnum	ctrl	DuplicateInfo
5/31/23	1C	WATER	E	D_CKDN230030137-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	D	D_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/14/23	3C	WATER	D	E_CKDN230030138-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	E	E_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	1C	WATER	E	F_CKDN230030139-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	F	F_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/13/23	1C	SHRIMP	~	G_CKDN230030140-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	G	G_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	1C	WATER	S	H_CKDN230030141-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	H	H_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	2C	WATER	S	I_CKDN230030142-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	I	I_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/10/23	3C	SHRIMP	~	J_CKDN230030143-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	J	J_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	1C	WATER	S	K_CKDN230030144-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	K	K_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/14/23	1C	WATER	D	L_CKDN230030145-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	L	L_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/15/23	1C	WATER	E	P_CKDN230030146-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	P	P_HGKHY_L2	GKHY	2	ResMlstCombTable50	Dup of A,cgST4495
6/16/23	1C	WATER	E	Q_CKDN230030147-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	Q	Q_HGKHY_L2	GKHY	2	ResMlstCombTable50	Dup of A,cgST4495
6/9/23	2C	WATER	S	R_CKDN230030148-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	R	R_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	3C	WATER	S	S_CKDN230030149-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	S	S_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/14/23	3C	WATER	E	T_CKDN230030150-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	T	T_HGKHY_L2	GKHY	2	ResMlstCombTable50
5/30/23	1C	WATER	S	W_CKDN230030151-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	W	W_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/14/23	3C	WATER	D	Y_CKDN230030152-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	Y	Y_HGKHY_L2	GKHY	2	ResMlstCombTable50
6/14/23	3C	WATER	D	Z_CKDN230030153-1A_HGKHYDSX7_L2_Abricate_resfinder.tsv	Z	Z_HGKHY_L2	GKHY	2	ResMlstCombTable50
